age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
69,technician,married,high.school,no,unknown,yes,telephone,mar,tue,37,22,999,6,nonexistent,-0.1,94.107,-44.1,3.552,5191,no
32,unknown,married,unknown,no,no,no,cellular,feb,wed,694,10,999,5,nonexistent,1.1,94.261,-45.5,4.712,5176,no
78,admin.,single,basic.4y,no,unknown,unknown,cellular,sep,thu,422,6,999,5,failure,1.1,93.629,-45.8,4.536,5099,no
38,management,married,basic.4y,no,yes,no,telephone,dec,fri,284,13,999,2,nonexistent,1.1,94.421,-41.3,4.225,5099,no
41,retired,married,university.degree,no,no,no,cellular,nov,tue,132,16,999,1,success,1.4,92.214,-34.4,4.782,4963,yes
20,unknown,married,basic.4y,unknown,yes,no,cellular,apr,tue,589,22,999,5,nonexistent,1.4,93.784,-33.9,1.853,4963,no
39,retired,single,unknown,no,unknown,no,cellular,sep,mon,187,25,999,0,nonexistent,1.4,93.44,-44.9,0.684,5176,no
70,services,married,university.degree,yes,yes,no,telephone,jun,mon,115,2,999,4,nonexistent,-1.8,94.416,-46.9,2.179,5228,no
19,student,single,university.degree,unknown,yes,no,cellular,jan,thu,220,26,999,3,nonexistent,1.1,92.384,-39.2,3.152,5191,no
47,admin.,divorced,basic.4y,unknown,yes,no,telephone,nov,thu,66,24,24,6,nonexistent,-1.8,92.638,-46.6,2.013,4963,yes
55,management,single,high.school,no,no,no,cellular,mar,thu,79,15,999,2,nonexistent,-0.1,93.676,-30.5,0.823,4963,no
19,admin.,single,high.school,no,unknown,no,cellular,jul,thu,629,8,999,6,nonexistent,1.1,94.842,-48.0,2.846,5099,no
81,retired,married,high.school,no,yes,no,cellular,sep,tue,394,17,999,6,nonexistent,1.4,92.25,-31.9,1.503,5176,yes
77,admin.,married,high.school,no,no,yes,cellular,aug,tue,180,27,999,2,nonexistent,-0.1,94.23,-49.0,3.809,5228,no
38,management,divorced,unknown,no,unknown,no,telephone,dec,tue,134,29,999,4,nonexistent,1.4,92.616,-30.6,1.02,5228,no
50,student,married,university.degree,unknown,unknown,no,telephone,may,wed,412,14,999,1,nonexistent,-0.1,92.316,-34.9,4.817,5191,no
75,services,married,high.school,no,unknown,no,cellular,dec,thu,211,18,999,2,nonexistent,1.1,93.184,-42.3,4.461,5191,yes
39,technician,single,unknown,no,yes,unknown,telephone,aug,wed,134,29,999,2,nonexistent,1.1,93.749,-40.3,4.449,4963,no
66,admin.,married,university.degree,unknown,yes,no,telephone,feb,fri,181,14,999,3,nonexistent,-1.8,94.481,-33.8,4.082,5176,no
76,unknown,married,basic.4y,no,yes,no,cellular,mar,fri,66,4,999,4,nonexistent,1.4,93.904,-45.5,3.399,5099,no
59,technician,married,basic.4y,no,unknown,no,telephone,aug,tue,56,21,999,4,success,1.4,93.475,-28.6,0.863,5191,no
77,retired,married,unknown,no,unknown,unknown,telephone,sep,fri,1129,21,5,0,nonexistent,1.1,92.857,-38.4,3.525,5228,no
32,services,single,university.degree,no,yes,no,cellular,oct,tue,873,22,999,4,nonexistent,-1.8,92.878,-31.8,3.894,4963,no
79,unemployed,married,high.school,no,yes,yes,cellular,aug,thu,136,23,9,5,nonexistent,-1.8,94.312,-37.8,1.202,4963,no
79,services,married,university.degree,no,unknown,no,cellular,apr,wed,181,1,26,3,nonexistent,1.4,92.342,-39.1,3.321,5099,no
64,admin.,married,high.school,unknown,unknown,yes,cellular,jun,tue,438,23,999,5,nonexistent,1.1,92.439,-38.7,2.723,5176,no
79,unknown,single,unknown,no,no,no,cellular,nov,mon,323,6,999,4,nonexistent,1.4,94.159,-41.3,2.695,5228,no
68,student,single,high.school,no,no,no,cellular,may,mon,26,5,999,0,nonexistent,1.1,94.883,-32.4,1.502,4963,no
72,services,married,unknown,no,yes,no,telephone,dec,thu,117,15,999,3,nonexistent,1.4,92.361,-29.7,3.861,4963,no
81,admin.,single,university.degree,no,unknown,no,cellular,apr,wed,71,16,999,2,nonexistent,1.1,93.828,-29.5,4.673,5191,no
20,admin.,married,university.degree,no,unknown,no,cellular,sep,tue,1227,22,999,1,nonexistent,-1.8,92.718,-47.1,4.073,5228,no
68,technician,divorced,high.school,no,no,unknown,telephone,oct,thu,345,27,999,2,nonexistent,-1.8,92.077,-31.7,2.243,5099,yes
24,services,married,university.degree,no,unknown,unknown,cellular,mar,wed,12,8,999,0,nonexistent,1.4,94.497,-45.2,4.931,4963,no
38,admin.,single,high.school,no,yes,yes,telephone,jan,mon,575,29,999,3,nonexistent,-1.8,93.526,-49.7,2.221,5228,yes
56,technician,married,university.degree,no,no,yes,telephone,jul,tue,657,28,999,2,nonexistent,1.4,92.072,-43.4,1.654,5176,no
35,unknown,married,basic.4y,no,unknown,no,telephone,oct,wed,101,6,20,0,nonexistent,-1.8,94.686,-43.0,4.861,5228,no
21,management,married,high.school,no,unknown,unknown,telephone,aug,fri,256,5,13,5,nonexistent,1.4,93.607,-30.6,4.081,5176,yes
77,unknown,single,unknown,no,yes,unknown,cellular,nov,tue,286,6,999,6,nonexistent,-1.8,94.211,-32.2,3.957,5176,yes
31,unemployed,married,basic.4y,no,unknown,no,cellular,mar,fri,326,25,999,2,nonexistent,1.1,93.271,-48.0,0.968,5099,no
26,technician,divorced,unknown,no,no,no,telephone,mar,thu,295,28,999,6,nonexistent,-1.8,92.555,-42.2,1.469,4963,no
70,technician,married,university.degree,unknown,no,no,telephone,jun,wed,205,1,999,1,nonexistent,1.1,93.397,-44.0,0.711,5176,no
19,admin.,married,basic.4y,no,unknown,no,cellular,feb,wed,768,14,999,5,nonexistent,-1.8,92.863,-35.7,4.024,5099,no
77,retired,married,university.degree,no,unknown,no,cellular,jun,wed,179,19,999,2,nonexistent,-1.8,92.89,-37.0,1.846,5228,no
61,retired,single,high.school,no,unknown,no,telephone,may,wed,29,19,999,2,nonexistent,1.1,93.932,-33.7,1.208,4963,no
25,student,married,unknown,no,unknown,no,cellular,jul,tue,20,25,999,2,nonexistent,-0.1,92.282,-28.1,1.425,4963,no
64,retired,single,university.degree,no,no,no,cellular,sep,fri,4,15,999,0,nonexistent,1.4,93.191,-39.9,3.432,5099,no
52,technician,divorced,unknown,no,yes,no,telephone,sep,fri,139,19,20,3,nonexistent,-0.1,93.64,-34.3,2.522,5099,no
53,student,divorced,unknown,no,no,no,cellular,jan,thu,79,6,999,4,nonexistent,-1.8,94.13,-28.0,4.744,5191,no
67,unknown,married,university.degree,no,unknown,no,cellular,jul,thu,563,25,999,0,nonexistent,1.4,93.899,-37.0,2.229,5228,yes
21,admin.,single,high.school,no,unknown,no,cellular,mar,wed,504,26,8,5,nonexistent,1.4,94.659,-42.6,4.274,5191,no
